filename,fileid,speaker,speechnumber,type_of_speech,sentence,sentence token,sentence character offset begin,sentence character offset end,annotated text,conflict_party_appraisal_target,attitude,polarity,appraisal character offset,attitude target,conflict_party_specific_appraisal_target,target_type,id annotated attitude,target relation ID,ID attitude,ID attitude target,relations_comp
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,We meet today in the most tragic of circumstances.,"['We', 'meet', 'today', 'in', 'the', 'most', 'tragic', 'of', 'circumstances', '.']",0,50,most tragic of circumstances,Other,appreciation,negative,"(21, 49)",circumstances,Airplane accident,explicit,928,987.0,928,955.0,"[987, [928, 'most tragic of circumstances'], [955, 'circumstances']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,"Our deepest, most heartfelt condolences go to the families of the victims and to the people and Governments of those countries affected.","['Our', 'deepest', ',', 'most', 'heartfelt', 'condolences', 'go', 'to', 'the', 'families', 'of', 'the', 'victims', 'and', 'to', 'the', 'people', 'and', 'Governments', 'of', 'those', 'countries', 'affected', '.']",189,325,"Our deepest, most heartfelt condolences go to",Other,affect,negative,"(189, 234)",the families of the victims and to the people and Governments of those countries affected.,Airplane accident,explicit,929,988.0,929,956.0,"[988, [929, 'Our deepest, most heartfelt condolences go to'], [956, 'the families of the victims and to the people and Governments of those countries affected.']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,"In the United Kingdom, we are mourning the loss of at least nine British citizens who were passengers on the flight.","['In', 'the', 'United', 'Kingdom', ',', 'we', 'are', 'mourning', 'the', 'loss', 'of', 'at', 'least', 'nine', 'British', 'citizens', 'who', 'were', 'passengers', 'on', 'the', 'flight', '.']",326,442,we are mourning the loss,Other,affect,negative,"(349, 373)",of at least nine British citizens who were passengers on the flight.,Airplane accident,explicit,930,989.0,930,957.0,"[989, [930, 'we are mourning the loss'], [957, 'of at least nine British citizens who were passengers on the flight.']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,We welcome the indications from the Ukrainian authorities that they want international investigators to join their efforts.,"['We', 'welcome', 'the', 'indications', 'from', 'the', 'Ukrainian', 'authorities', 'that', 'they', 'want', 'international', 'investigators', 'to', 'join', 'their', 'efforts', '.']",1147,1270,We welcome,Ukraine,affect,positive,"(1147, 1157)",the indications from the Ukrainian authorities that they want international investigators to join their efforts.,Ukrainian authorities,explicit,931,996.0,931,962.0,"[996, [931, 'We welcome'], [962, 'the indications from the Ukrainian authorities that they want international investigators to join their efforts.']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written," The International Civil Aviation Organization, which provides the international legal framework for the investigation of air accidents,   should have a central role to play in ensuring that there is credible and independent international involvement.","['We', 'welcome', 'the', 'indications', 'from', 'the', 'Ukrainian', 'authorities', 'that', 'they', 'want', 'international', 'investigators', 'to', 'join', 'their', 'efforts', '.']",1147,1270,should have a central role to play in ensuring that there is credible and independent international involvement.,Other,judgement,positive,"(1033, 1145)",The International Civil Aviation Organization,Other political actors,explicit,932,995.0,932,961.0,"[995, [932, 'should have a central role to play in ensuring that there is credible and independent international involvement.'], [961, 'The International Civil Aviation Organization']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,The United Kingdom will provide whatever assistance is necessary to support that investigation.,"['The', 'United', 'Kingdom', 'will', 'provide', 'whatever', 'assistance', 'is', 'necessary', 'to', 'support', 'that', 'investigation', '.']",1271,1366,will provide whatever assistance is necessary to support that investigation.,Other,judgement,positive,"(1290, 1366)",The United Kingdom,Other political actors,explicit,933,997.0,933,963.0,"[997, [933, 'will provide whatever assistance is necessary to support that investigation.'], [963, 'The United Kingdom']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,This is a dark moment for the international community.,"['The', 'United', 'Kingdom', 'will', 'provide', 'whatever', 'assistance', 'is', 'necessary', 'to', 'support', 'that', 'investigation', '.']",1271,1366,This is a dark moment,Other,appreciation,negative,"(443, 464)",moment,Airplane accident,explicit,934,990.0,934,958.0,"[990, [934, 'This is a dark moment'], [958, 'moment']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,The precise circumstances and causes of this tragic event must be established quickly and beyond any doubt.,"['The', 'United', 'Kingdom', 'will', 'provide', 'whatever', 'assistance', 'is', 'necessary', 'to', 'support', 'that', 'investigation', '.']",1271,1366,this tragic event,Other,appreciation,negative,"(647, 664)",event,Airplane accident,explicit,935,994.0,935,960.0,"[994, [935, 'this tragic event'], [960, 'event']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,We have to ask searching questions about why we are now confronting this tragic situation.,"['We', 'have', 'to', 'ask', 'searching', 'questions', 'about', 'why', 'we', 'are', 'now', 'confronting', 'this', 'tragic', 'situation', '.']",2578,2668,tragic situation.,Other,appreciation,negative,"(2651, 2668)",situation,Airplane accident,explicit,936,1001.0,936,967.0,"[1001, [936, 'tragic situation.'], [967, 'situation']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,It is the Council's responsibility to respond to such tragedies by drawing the right lessons and working together with commitment and conviction to prevent their repetition.,"['It', 'is', 'the', ""Council's"", 'responsibility', 'to', 'respond', 'to', 'such', 'tragedies', 'by', 'drawing', 'the', 'right', 'lessons', 'and', 'working', 'together', 'with', 'commitment', 'and', 'conviction', 'to', 'prevent', 'their', 'repetition', '.']",3744,3917,tragedies,implicit,appreciation,negative,"(3798, 3807)",implicit,implicit,implicit,937,,937,,"[None, [937, 'tragedies'], [None, 'None']]"
